State,Expenditure,Year
NSW,6673012000,2010
NSW,7444985000,2011
NSW,7807905000,2012
NSW,8051680000,2013
NSW,8286245676,2014
NSW,8959750000,2015
NSW,9468399000,2016
NSW,9531573000,2017
NSW,9836036000,2018
NSW,9966338400,2019
NSW,9574701000,2020
NSW,10891991000,2021
VIC,5120566890,2010
VIC,5183411000,2011
VIC,5462151000,2012
VIC,5341256000,2013
VIC,5350735241,2014
VIC,5753739512,2015
VIC,5793632817,2016
VIC,5475040029,2017
VIC,5813826262,2018
VIC,5827921575,2019
VIC,4606473946,2020
VIC,3438197840,2021
QLD,3215356000,2010
QLD,3321350000,2011
QLD,3477499000,2012
QLD,3556462000,2013
QLD,3499625000,2014
QLD,3744796000,2015
QLD,3858215231,2016
QLD,3855695508,2017
QLD,4056408021,2018
QLD,4296022326,2019
QLD,3860870944,2020
QLD,5342605519,2021
SA,1140832000,2010
SA,1145112000,2011
SA,1163680000,2012
SA,1132691000,2013
SA,1143756620,2014
SA,1140488330,2015
SA,1164349000,2016
SA,1077352247,2017
SA,1229365000,2018
SA,1222108538,2019
SA,1039239279,2020
SA,1443281252,2021
WA,1136822000,2010
WA,1118660100,2011
WA,1313413600,2012
WA,1328684000,2013
WA,1511339000,2014
WA,1577231000,2015
WA,1510074000,2016
WA,1350205959,2017
WA,1307274000,2018
WA,1316438000,2019
WA,1377893000,2020
WA,1757104000,2021
TAS,383427000,2010
TAS,392460000,2011
TAS,384144000,2012
TAS,320325000,2013
TAS,316164616,2014
TAS,320699480,2015
TAS,326442200,2016
TAS,309028901.6,2017
TAS,304052400.5,2018
TAS,309248960.1,2019
TAS,256007073,2020
TAS,397842943,2021
ACT,243002000,2010
ACT,245175000,2011
ACT,247123000,2012
ACT,243584000,2013
ACT,234137000,2014
ACT,230170000,2015
ACT,232428000,2016
ACT,243704000,2017
ACT,242668000,2018
ACT,253221000,2019
ACT,278562000,2020
ACT,364093269,2021
NT,543069108,2010
NT,570252442,2011
NT,692847705,2012
NT,820864356,2013
NT,939644465,2014
NT,1181396048,2015
NT,1451110490,2016
NT,1855011649,2017
NT,2262735000,2018
NT,2390930000,2019
NT,249498344,2020
NT,403920874,2021
