LGA Name,Region,Year,Net Expenditure,Adult population,Adults per venue,Number of machine per 1000 adults,Expenditure per adult,Unemployment rate
Whittlesea,Metro,2017," 106,994,642.75 "," 157,370 "," 15,737 ",4, 680 ,7.3%
Nillumbik,Metro,2017," 8,298,522.61 "," 48,614 "," 24,307 ",2, 171 ,2.6%
Ararat,Country,2017," 4,921,777.36 "," 8,712 "," 4,356 ",10, 565 ,5.5%
Northern Grampians,Country,2017," 4,183,804.74 "," 9,131 "," 4,566 ",9, 458 ,5.1%
Borough Of Queenscliffe,Country,2017," 1,282,462.14 "," 2,524 "," 2,524 ",12, 508 ,3.0%
Greater Geelong,Country,2017," 114,136,381.74 "," 185,673 "," 7,141 ",7, 615 ,6.2%
Corangamite,Country,2017," 2,764,524.83 "," 11,943 "," 5,971 ",5, 231 ,3.3%
Colac Otway,Country,2017," 7,466,425.77 "," 15,790 "," 3,158 ",7, 473 ,4.2%
Hepburn,Country,2017," 2,844,831.13 "," 12,111 "," 6,056 ",4, 235 ,3.4%
Moorabool,Country,2017," 8,550,958.40 "," 24,945 "," 8,315 ",4, 343 ,6.2%
Central Goldfields,Country,2017," 7,325,139.04 "," 10,265 "," 5,132 ",10, 714 ,7.8%
Mount Alexander,Country,2017," 2,823,286.73 "," 15,039 "," 15,039 ",2, 188 ,3.7%
Mansfield,Country,2017," 1,619,488.47 "," 6,450 "," 6,450 ",6, 251 ,2.9%
Murrindindi,Country,2017," 1,433,765.85 "," 11,220 "," 11,220 ",2, 128 ,4.3%
Mitchell,Country,2017," 17,356,249.50 "," 30,645 "," 6,129 ",7, 566 ,5.9%
Towong,Country,2017," 254,603.83 "," 4,567 "," 4,567 ",2, 56 ,4.5%
Alpine,Country,2017," 2,316,519.89 "," 9,514 "," 4,757 ",6, 243 ,3.4%
Moira,Country,2017," 3,780,992.31 "," 22,762 "," 11,381 ",5, 166 ,6.3%
Strathbogie,Country,2017," 1,219,972.05 "," 8,137 "," 8,137 ",4, 150 ,4.2%
Benalla,Country,2017," 5,078,028.84 "," 10,571 "," 3,524 ",10, 480 ,5.2%
Gannawarra,Country,2017," 1,907,102.44 "," 7,808 "," 7,808 ",6, 244 ,3.8%
Campaspe,Country,2017," 8,568,948.56 "," 28,645 "," 7,161 ",7, 299 ,6.1%
Glenelg,Country,2017," 6,616,359.12 "," 14,934 "," 3,733 ",8, 443 ,5.6%
Southern Grampians,Country,2017," 6,152,158.79 "," 12,191 "," 6,096 ",6, 505 ,4.5%
Wellington,Country,2017," 21,829,657.87 "," 32,573 "," 4,653 ",10, 670 ,6.2%
Wodonga,Country,2017," 7,517,544.65 "," 30,139 "," 10,046 ",4, 249 ,5.5%
Warrnambool,Country,2017," 18,794,442.23 "," 26,469 "," 3,309 ",9, 710 ,4.6%
Greater Bendigo,Country,2017," 47,754,127.20 "," 86,565 "," 7,870 ",7, 552 ,4.3%
Ballarat,Country,2017," 54,568,804.35 "," 80,467 "," 5,364 ",8, 678 ,4.4%
Swan Hill,Country,2017," 7,439,367.75 "," 15,622 "," 3,906 ",10, 476 ,4.3%
Greater Shepparton,Country,2017," 31,147,764.24 "," 48,403 "," 6,050 ",7, 644 ,7.2%
Mildura,Country,2017," 25,309,607.49 "," 40,949 "," 5,119 ",7, 618 ,6.5%
East Gippsland,Country,2017," 23,472,196.09 "," 36,101 "," 3,610 ",9, 650 ,8.2%
Bass Coast,Country,2017," 16,126,066.61 "," 26,925 "," 6,731 ",7, 599 ,7.2%
Latrobe,Country,2017," 43,552,057.13 "," 57,025 "," 4,387 ",9, 764 ,9.8%
Surf Coast,Country,2017," 2,924,662.21 "," 22,493 "," 7,498 ",3, 130 ,2.7%
South Gippsland,Country,2017," 6,575,894.83 "," 21,828 "," 5,457 ",5, 301 ,4.4%
Macedon Ranges,Country,2017," 9,526,013.69 "," 35,672 "," 11,891 ",3, 267 ,2.5%
Horsham,Country,2017," 9,202,786.89 "," 15,399 "," 5,133 ",10, 598 ,3.8%
Baw Baw,Country,2017," 15,586,093.22 "," 37,499 "," 9,375 ",6, 416 ,4.6%
Wangaratta,Country,2017," 8,712,157.83 "," 21,107 "," 5,277 ",6, 413 ,4.7%
Melbourne,Metro,2017," 80,349,220.84 "," 130,602 "," 11,873 ",6, 615 ,3.8%
